Year,Months,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,Date
2023,1,79.1,55.6,158.7,,73.95,,82.2,,118.7,25.3,74,77.4,92.5,82.2,57,100.5,,,,129,1/1/2023
2023,2,,,,,,,,,,,,,,,,,,,,,2/1/2023
2023,3,,,,,,,,,,,,,,,,,,,,,3/1/2023
2023,4,,,,,,,,,,,,,,,,,,,,,4/1/2023
2023,5,,,,,,,,,,,,,,,,,,,,,5/1/2023
2023,6,,,,,,,,,,,,,,,,,,,,,6/1/2023
2023,7,,,,,,,,,,,,,,,,,,,,,7/1/2023
2023,8,,58.3,163.2,,68.7,,92,,,31,81.3,83.5,,88.7,59,108,145,108.7,,141,8/1/2023
2023,9,80.5,58.75,164.1,,69.2,,98.2,,122.3,31.5,85.7,84.4,,93.1,59.2,109,149,94,,142,9/1/2023
2023,10,80.72,58.77,165,,70,,96.4,,121.7,31,84.6,82.1,,90.2,59.5,109,146,,,143,10/1/2023
2023,11,81,58.8,164.1,,71.1,,94.3,,118.8,31.8,81.9,78.5,,88.4,60,109.4,146.5,,,143,11/1/2023
2023,12,,,,,,,,,,,,,,,,,,,,,12/1/2023
2024,1,,,,,,,,,,,,,,,,,,,,,1/1/2024
2024,2,72,52.08,152.2,138,60.8,138.8,99.2,,120.1,27.3,83.6,79.1,,90.4,,108,,,,141,2/1/2024
2024,3,71.5,52,152,133,63,135,101.4,,122.3,28,85.7,80.5,,93.4,,102,133,,,134,3/1/2024
2024,4,70.12,51.2,146,133.5,57,134,97.4,,112.7,28.3,83.7,78.3,,91.1,,102.4,133.2,,,132,4/1/2024
2024,5,70.2,51.8,147,133,57.1,133.5,99.1,,113.6,29,85.4,81.2,,91.3,,102,133,,,132.5,5/1/2024
2024,6,70.3,51.92,147.2,135,57.3,136,98.3,,110.1,31,83.9,80.2,,99.1,,99,133.9,,,133,6/1/2024
2024,7,70.35,51.98,147.26,,57.35,,102.1,73.2,115.3,33,86.5,83.7,121,97,,106,133,121.4,,133,7/1/2024
2024,8,70.41,52,147.3,,57.38,,86,75.3,131,33,83,86.7,123,67,62,107,138,124.2,,138.3,8/1/2024
2024,9,73,53.15,148,,58.1,,89.3,77.2,131.1,32.4,85.4,87.2,126.1,69.6,62,108,,126.3,,,9/1/2024
2024,10,73.5,53.3,148.43,,58.2,,91.2,78.6,132.1,32.5,86.4,89.1,128,70.8,62.4,108.3,,127.5,,,10/1/2024
2024,11,,,,,,,,,,,,,,,,,,,,,11/1/2024
2024,12,,,,,,,,,,,,,,,,,,,,,12/1/2024
