Date,Months,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
01/07/2022,7,75.90,53.00,139.00,66.40,115.63,80.60,86.30,118.50,26.20,70.80,77.30,91.20,85.70,58.10,95.00,142.00,91.80,127.00
01/08/2022,8,79.90,56.00,139.17,66.70,118.00,81.80,85.75,115.50,27.00,72.70,79.20,89.80,84.57,58.80,95.50,145.00,92.30,130.00
01/09/2022,9,80.20,56.10,139.33,69.00,128.00,82.00,85.21,123.30,30.20,72.90,80.20,91.30,83.43,58.00,91.00,140.83,93.67,132.50
01/10/2022,10,80.10,56.20,139.50,68.90,138.00,83.20,84.66,124.50,27.00,74.20,80.80,93.10,82.30,59.00,92.00,136.67,95.03,135.00
01/11/2022,11,80.30,56.50,134.00,69.00,132.50,82.00,84.12,122.10,26.00,73.40,78.50,91.10,82.30,59.00,100.20,132.50,96.40,134.00
01/12/2022,12,79.60,56.05,134.50,68.92,133.00,81.60,83.57,113.20,25.00,75.10,79.30,94.40,84.00,57.20,100.00,133.00,97.77,134.00
01/01/2023,1,79.10,55.60,134.77,73.95,133.41,82.20,83.03,118.70,25.30,74.00,77.40,92.50,82.20,57.00,100.50,134.50,99.13,129.00
01/02/2023,2,79.28,55.99,135.04,73.20,133.83,83.60,82.48,119.15,25.97,75.04,78.27,94.08,83.13,57.29,101.57,136.00,100.50,130.71
01/03/2023,3,79.45,56.37,135.31,72.45,134.24,85.00,81.93,119.60,26.64,76.09,79.14,95.67,84.06,57.57,102.64,137.50,101.87,132.43
01/04/2023,4,79.63,56.76,135.58,71.70,134.66,86.40,81.39,120.05,27.31,77.13,80.01,97.25,84.99,57.86,103.71,139.00,103.23,134.14
01/05/2023,5,79.80,57.14,135.85,70.95,135.07,87.80,80.84,120.50,27.99,78.17,80.89,98.83,85.91,58.14,104.79,140.50,104.60,135.86
01/06/2023,6,79.98,57.53,136.12,70.20,135.49,89.20,80.30,120.95,28.66,79.21,81.76,100.42,86.84,58.43,105.86,142.00,105.97,137.57
01/07/2023,7,80.15,57.91,136.38,69.45,135.90,90.60,79.75,121.40,29.33,80.26,82.63,102.00,87.77,58.71,106.93,143.50,107.33,139.29
01/08/2023,8,80.33,58.30,136.65,68.70,136.31,92.00,79.20,121.85,30.00,81.30,83.50,103.58,88.70,59.00,108.00,145.00,108.70,141.00
01/09/2023,9,80.50,58.75,136.92,69.20,136.73,98.20,78.66,122.30,31.50,85.70,84.40,105.17,93.10,59.20,109.00,149.00,94.00,142.00
01/10/2023,10,80.72,58.77,137.19,70.00,137.14,96.40,78.11,121.70,31.00,84.60,82.10,106.75,90.20,59.50,109.00,146.00,96.74,143.00
01/11/2023,11,81.00,58.80,137.46,71.10,137.56,94.30,77.57,118.80,31.80,81.90,78.50,108.33,88.40,60.00,109.40,146.50,99.48,143.00
01/12/2023,12,78.00,56.56,137.73,67.67,137.97,95.93,77.02,119.23,30.30,82.47,78.70,109.92,89.07,60.22,108.93,143.13,102.22,142.33
01/01/2024,1,75.00,54.32,138.00,64.23,138.39,97.57,76.48,119.67,28.80,83.03,78.90,111.50,89.73,60.44,108.47,139.75,104.96,141.67
01/02/2024,2,72.00,52.08,138.00,60.80,138.80,99.20,75.93,120.10,27.30,83.60,79.10,113.08,90.40,60.67,108.00,136.38,107.70,141.00
01/03/2024,3,71.50,52.00,133.00,60.00,135.00,101.40,75.38,122.30,28.00,85.70,80.50,114.67,93.40,60.89,102.00,133.00,110.44,134.00
01/04/2024,4,70.12,51.20,133.50,57.00,134.00,97.40,74.84,112.70,28.30,83.70,78.30,116.25,91.10,61.11,102.40,133.20,113.18,132.00
01/05/2024,5,70.20,51.80,133.00,57.10,133.50,99.10,74.29,113.60,29.00,85.40,81.20,117.83,91.30,61.33,102.00,133.00,115.92,132.50
01/06/2024,6,70.30,51.92,135.00,57.30,136.00,98.30,73.75,110.10,31.00,83.90,80.20,119.42,99.10,61.56,99.00,133.90,118.66,133.00
01/07/2024,7,70.35,51.98,135.75,57.35,137.00,102.10,73.20,115.30,33.00,86.50,83.70,121.00,97.00,61.78,106.00,133.00,121.40,133.00
01/08/2024,8,70.41,52.00,136.50,57.38,138.00,86.00,75.30,130.00,33.00,83.00,86.70,123.00,67.00,62.00,107.00,138.00,124.20,138.30
01/09/2024,9,73.00,53.15,137.25,58.10,139.00,89.30,77.20,131.10,32.40,85.40,87.20,126.10,69.60,62.00,108.00,140.05,126.30,139.63
01/10/2024,10,73.50,53.30,138.00,58.20,140.00,91.20,78.60,132.10,32.50,86.40,89.10,128.00,70.80,62.40,108.30,142.10,127.50,140.95
01/11/2024,11,75.05,53.95,138.75,58.61,141.00,93.80,80.25,133.15,32.25,88.10,90.30,53.95,72.70,62.60,108.95,144.15,129.15,142.28
01/12/2024,12,76.07,54.35,139.50,59.02,142.00,96.40,81.90,134.20,32.00,89.45,91.85,53.95,74.25,62.90,109.43,146.20,130.80,143.60
